planned_source_id,origin_group,source_path,source_url,license_status,planned_split_if_independent,confirmed_split,condition,display_role,display_hz,display_brightness_percent,angle_degrees,phone,resolution,fps_setting,shutter_setting,actual_iso,actual_wb_kelvin,actual_distance_cm,phone_original_filename,output_filename,source_start_seconds,source_end_seconds,sha256,status,notes
SRC001,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC001_C1_take01.mp4,,,,planned_not_recorded,
SRC001,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC001_C4_take01.mp4,,,,planned_not_recorded,
SRC002,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC002_C2_take01.mp4,,,,planned_not_recorded,
SRC002,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC002_C3_take01.mp4,,,,planned_not_recorded,
SRC003,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC003_C1_take01.mp4,,,,planned_not_recorded,
SRC003,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC003_C4_take01.mp4,,,,planned_not_recorded,
SRC004,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC004_C2_take01.mp4,,,,planned_not_recorded,
SRC004,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC004_C3_take01.mp4,,,,planned_not_recorded,
SRC005,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC005_C1_take01.mp4,,,,planned_not_recorded,
SRC005,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC005_C4_take01.mp4,,,,planned_not_recorded,
SRC006,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC006_C2_take01.mp4,,,,planned_not_recorded,
SRC006,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC006_C3_take01.mp4,,,,planned_not_recorded,
SRC007,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC007_C1_take01.mp4,,,,planned_not_recorded,
SRC007,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC007_C4_take01.mp4,,,,planned_not_recorded,
SRC008,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC008_C2_take01.mp4,,,,planned_not_recorded,
SRC008,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC008_C3_take01.mp4,,,,planned_not_recorded,
SRC009,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC009_C1_take01.mp4,,,,planned_not_recorded,
SRC009,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC009_C4_take01.mp4,,,,planned_not_recorded,
SRC010,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC010_C2_take01.mp4,,,,planned_not_recorded,
SRC010,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC010_C3_take01.mp4,,,,planned_not_recorded,
SRC011,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC011_C1_take01.mp4,,,,planned_not_recorded,
SRC011,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC011_C4_take01.mp4,,,,planned_not_recorded,
SRC012,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC012_C2_take01.mp4,,,,planned_not_recorded,
SRC012,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC012_C3_take01.mp4,,,,planned_not_recorded,
SRC013,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC013_C1_take01.mp4,,,,planned_not_recorded,
SRC013,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC013_C4_take01.mp4,,,,planned_not_recorded,
SRC014,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC014_C2_take01.mp4,,,,planned_not_recorded,
SRC014,,,,pending,train,,C3,ultra5060,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC014_C3_take01.mp4,,,,planned_not_recorded,
SRC015,,,,pending,train,,C1,pro360,60_if_supported,70,0,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC015_C1_take01.mp4,,,,planned_not_recorded,
SRC015,,,,pending,train,,C4,ultra5060,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC015_C4_take01.mp4,,,,planned_not_recorded,
SRC016,,,,pending,train,,C2,pro360,60_if_supported,40,20,Samsung Galaxy S23 Ultra,1920x1080,30,1/60,,,,,SRC016_C2_take01.mp4,,,,planned_not_recorded,
